port_of_abandonment,port_of_abandonment_updated,port_of_abandonment_updated,lon,ship_count
"Hamriyah, United Arab Emirates","Hamriyah, United Arab Emirates",25.4597423,55.4804489,18
"Hansweert, Netherlands (Kingdom of the)","Hansweert, Netherlands",51.4491,4.0037,1
"Harlingen, Netherlands (Kingdom of the)","Harlingen, Netherlands",53.1752,5.4142,1
"Harper, Liberia","Harper, Liberia",4.3789381,-7.7060988,1
"Havana, Cuba","Havana, Cuba",23.135305,-82.3589631,1
"Haydarpasa, Turkey","Haydarpasa, Turkey",40.9961144,29.0190723,2
"Hazira, India","Hazira, India",21.0956055,72.6466021,1
"Heraklion Port, Greece","Heraklion Port, Greece",35.3419167,25.1418173,1
"Hereke, Turkey, Turkey","Hereke, Turkey",40.7841,29.6163,1
"Hereke, Turkey","Hereke, Turkey",40.7840847,29.6163185,2
"Hidd, Bahrain","Hidd, Bahrain",26.2440537,50.6528891,1
"Himeji, Japan","Himeji, Japan",34.8153529,134.6854793,1
"Ho Chi Minh Port, Viet Nam","Ho Chi Minh Port, Viet Nam",10.7737,106.7166,1
"Hodaydah, Yemen","Al Hudaydah, Yemen",14.7979,42.9545,1
"Hodeidah, Yemen","Al Hudaydah, Yemen",14.7978677,42.9544872,3
"Hong Kong, China","Hong Kong, China",22.2818333,114.1582831,1
"Hualien, China","Hualien, China",23.9723989,121.6102341,1
"Huelva, Spain","Huelva, Spain",37.2575874,-6.9484945,3
"Huizhou, China","Huizhou, China",23.1125153,114.4127007,1
"Hulhumale, Maldives","Hulhumale, Maldives",4.2139376,73.5385131,1
"Hydrodinamik, Shipyard, Turkey","Hydrodinamik Shipyard, Turkey",40.8402369887154,29.2686721075567,1
"Ijmuiden, Netherlands (Kingdom of the)","Ijmuiden, Netherlands",52.4574,4.6116,1
"Ilka Shipyard, Boushehr, Iran (Islamic Republic of)","Ilka Shipyard, Boushehr, Iran",28.8738671095755,50.8456340186391,1
"Incheon, Republic of Korea","Incheon, Republic of Korea",37.456,126.7052,7
"Inverkeithing, Scotland, United Kingdom of Great Britain and Northern Ireland","Inverkeithing, Scotland",56.0308767,-3.3977498,1
Iran (Islamic Republic of),Iran,36.2665119,59.5999861,1
"Iskenderun, Turkey","Iskenderun, Turkey",36.5902266,36.1710354,2
"Iskendrun/Antalya, Turkey","Iskenderun, Turkey",36.6658505030488,36.1916088627477,1
"Istanbul anchorage, Turkey","Istanbul, Turkey",41.0064,28.9759,5
"Istanbul, Turkey","Istanbul, Turkey",41.006381,28.9758715,36
"Izmail, Ukraine","Izmail, Ukraine",45.3511307,28.8361514,2
"Izmir, Turkey","Izmir, Turkey",38.4192537,27.128469,1
"Izmit bay, Turkey","Izmir, Turkey",40.732711,29.729106,1
"Izmit, Turkey","Izmir, Turkey",40.7721138,29.9505623,2
"Jabel Ali, United Arab Emirates","Jabel Ali, United Arab Emirates",25.0160559,55.1378759,1
"Jakarta, Indonesia","Jakarta, Indonesia",-6.1754049,106.827168,1
"Jawaharlal Nehru Port, India","Jawaharlal Nehru Port, India",18.9450306,72.949423,1
"Jebel Ali, United Arab Emirates","Jebel Ali, United Arab Emirates",24.9775987,55.0910742,6
"Jebel Ali-Dubai, United Arab Emirates","Jebel Ali, United Arab Emirates",24.9672137,55.1370153,1
"Jeddah, Saudi Arabia","Jeddah, Saudi Arabia",21.5504432,39.1742363,12
"Jiangyin, China","Jiangyin, China",31.9215518,120.2808847,1
"Johor Anchorage, Malaysia","Johor Anchorage, Malaysia",1.4582,103.7649,2
"Johor Bahru, Malaysia","Johor Bahru, Malaysia",1.4581986,103.7649059,1
"Jorf Lasfar, Morocco","Jorf Lasfar, Morocco",33.1100029,-8.6311468,1
"Jubail naval anchorage, Saudi Arabia","Jubail, Saudi Arabia",27.0007,49.6532,1
"Jubail, Saudi Arabia","Jubail, Saudi Arabia",27.0006968,49.6532161,2
"Kakinada, India","Kakinada, India",16.9437385,82.2350607,5
"Kaliningrad, Russian Federation","Kaliningrad, Russia",54.7046485,20.4565666,1
"Kalymnos, Greece","Kalymnos, Greece",37.0025735,26.9923072,2
"Kamsar Port, Guinea","Kamsar, Guinea",10.6644,-14.5833,1
"Kamsar, Guinea","Kamsar, Guinea",10.6643896,-14.5833317,1
"Kandla, India","Kandla, India",32.6912634,76.0696792,1
"Kaohsiung anchorage, Taiwan","Kaohsiung, Taiwan",22.6203,120.312,1
"Kaohsiung, Taiwan","Kaohsiung, Taiwan",22.6203348,120.3120375,19
"Karachi OPL, Pakistan","Karachi, Pakistan",24.8547,67.0207,1
"Karachi, Pakistan","Karachi, Pakistan",24.8546842,67.0207055,2
"Karaika, India","Karaikal, India",16.9437,82.2351,1
"Karaikal, India","Karaikal, India",10.91571,79.8375761,1
"Karasu, Turkey","Karasu, Turkey",39.9325676,40.3501311,1
"Kartal anchorage, Turkey","Kartal, Turkey",40.8886,29.1857,1
"Kartal, Turkey","Kartal, Turkey",40.88858,29.1856536,1
"Kavala, Greece","Kavala, Greece",40.9369224,24.4122766,2
"Kavkaz anchorage, Russian Federation","Kavkaz, Russia",43.1727,42.6797,1
"Kavkaz, Russian Federation","Kavkaz, Russia",43.1727039,42.6796743,1
"Kawasaki, Japan","Kawasaki, Japan",35.5306639,139.7037668,1
"Kefken, Turkey","Kefken, Turkey",41.1695412,30.2278862,1
"Kembla, Australia","Kembla, Australia",-32.0677876,149.1181815,1
"Kemi, Finland","Kemi, Finland",65.7333404,24.5666495,1
"Kerch anchorage, Russian Federation","Kerch, Ukraine",45.3563,36.4671,1
"Kerch, Ukraine","Kerch, Ukraine",45.3563405,36.467061,1
"Khalid port, Sharjah, United Arab Emirates","Khalid port, Sharjah, United Arab Emirates",25.3655674,55.3839508,2
"Khalifa Bin Samlan, Bahrain","Khalifa Bin Samlan, Bahrain",26.0313927911795,50.5230350657141,1
"Kharg Island, Iran (Islamic Republic of)","Kharg Island, Iran",29.2406,50.3117,1
"Khor Fakkan OPL, United Arab Emirates","Khor Fakkan, United Arab Emirates",25.383725,56.51676,2
"Khor Fakkan, United Arab Emirates","Khor Fakkan, United Arab Emirates",25.3491721,56.3478105,21
"Khorfakkan Port, Sharjah, United Arab Emirates","Khor Fakkan, United Arab Emirates",25.3539188,56.3681606,1
"Khorramshahr, Iran (Islamic Republic of)","Khorramshahr, Iran",30.4748,48.2429,5
"Kiato, Greece","Kiato, Greece",38.00916,22.7507113,1
"King Abdullah, Saudi Arabia","King Abdullah, Saudi Arabia",23.7674471,44.771113,1
"Kingston Bay, Jamaica","Kingston Bay, Jamaica",26.5415435,-80.1161532,1
"Kingston, Jamaica","Kingston Bay, Jamaica",17.9712148,-76.7928128,1
"Kish, Iran (Islamic Republic of)","Kish, Iran",26.5361,53.9688,6
"Klang Bunkering Anchorage, Malaysia","Klang Bunkering Anchorage, Malaysia",2.7962825,101.2953,1
"Kokkola, Finland","Kokkola, Finland",63.8391421,23.1336845,1
"Kolkata, India","Kolkata, India",22.5726459,88.3638953,1
"Konta, Papua New Guinea","Konta, Papua New Guinea",-6.7302,147.0008,1
"Koper, Slovenia","Koper, Slovenia",45.5479864,13.7304781,4
"Korsoer, Denmark","Korsoer, Denmark",55.3266045,11.1425876,1
